beleefd	beleefder
blij	blijer
boos	bozer
dicht	dichter
dom	dommer
duur	duurder
eng	enger
gelukkig	gelukkiger
gewelddadig	gewelddadiger
gezond	gezonder
goedkoop	goedkoper
groot	groter
handig	handiger
heerlijk	heerlijker
heet	heter
hongerig	hongeriger
hoog	hoger
jong	jonger
klein	kleiner
kort	korter
krankzinnig	krankzinniger
laag	lager
lang	langer
lastig	lastiger
lelijk	lelijker
luid	luider
mild	milder
moeilijk	moeilijker
mooi	mooier
netjes	netjeser
oud	ouder
plakkerig	plakkeriger
puur	puurder
rijk	rijker
riskant	riskanter
schoon	schoner
sexy	sexyer
slecht	slechter
slim	slimmer
sterk	sterker
stom	stommer
strikt	strikter
subtiel	subtieler
trots	trotser
verdrietig	verdrietiger
vies	viezer
vocht	vochtiger
zoet	zoeter
zonnig	zonniger
zwak	zwakker
