beleefd	beleefdst
dicht	dichtst
dom	domst
donker	donkerst
duur	duurst
erg	ergst
gelukkig	gelukkigst
gezond	gezondst
glanzend	glanzendst
goedkoop	goedkoopst
grappig	grappigst
griezelig	griezeligst
groot	grootst
handig	handigst
heerlijk	heerlijkst
heet	heetst
hoog	hoogst
jong	jongst
klein	kleinst
kort	kortst
koud	koudst
kwaad	kwaadst
laag	laagst
lang	langst
lastig	lastigst
lelijk	lelijkst
licht	lichtst
luid	luidst
makkelijk	makkelijkst
mild	mildst
moeilijk	moeilijkst
mooi	mooist
netjes	netst
onbeleefd	onbeleefdst
oud	oudst
puur	puurst
raar	raarst
rijk	rijkst
schoon	schoonst
sterk	sterkst
streng	strengst
subtiel	subtielst
verdrietig	verdrietigst
vies	viest
wijs	wijst
woedend	woedendst
wreed	wreedst
zelden	zeldenst
zonnig	zonnigst
zwak	zwakst
