accepteren	accepteert
begrijpen	begrijpt
bereiken	bereikt
beschermen	beschermt
beschrijven	beschrijft
bestaan	bestaat
betrekken	betrekt
bevatten	bevat
bevorderen	bevordert
bieden	biedt
blijven	blijft
breken	breekt
creëren	creëert
eten	eet
gebeuren	gebeurt
geloven	gelooft
genieten	geniet
handhaven	handhaaft
horen	hoort
identificeren	identificeert
klagen	klaagt
leggen	legt
leren	leert
lijken	lijkt
omvatten	omvat
onderhouden	onderhoudt
onthouden	onthoudt
ontvangen	ontvangt
ontwikkelen	ontwikkelt
opereren	opereert
overwegen	overweegt
promoten	promotet
schakelen	schakelt
sluiten	sluit
suggereren	suggereert
treden	treedt
verbeteren	verbetert
vereisen	vereist
vermijden	vermijdt
verminderen	vermindert
verschijnen	verschijnt
vertegenwoordigen	vertegenwoordigt
vertellen	vertelt
verwijzen	verwijst
verzenden	verzendt
volgen	volgt
voorkomen	voorkomt
vragen	vraagt
worden	wordt
zorgen	zorgt
