aanmoedigen	aanmoedigend
begrijpen	begrijpend
beheren	beherend
bereiken	bereikend
beschermen	beschermend
bestaan	bestaand
besteden	bestedend
betrekken	betrekkend
bevatten	bevattend
bieden	biedend
bijwonen	bijwonend
blijven	blijvend
creëren	creërend
eten	etend
gebeuren	gebeurend
geloven	gelovend
genieten	genietend
identificeren	identificerend
leren	lerend
lesgeven	lesgevend
lijken	lijkend
omvatten	omvattend
onderhouden	onderhoudend
onthoud	onthoudend
ontvangen	ontvangend
ontwikkelen	ontwikkelend
overwegen	overwegend
presteren	presterend
promoten	promotend
toepassen	toepassend
toestaan	toestaand
toevoegen	toevoegend
verbeteren	verbeterend
vereisen	vereisend
verliezen	verliezend
vermijden	vermijdend
verminderen	verminderend
verschijnen	verschijnend
vertegenwoordigen	vertegenwoordigend
vertellen	vertellend
verwachten	verwachtend
verwijzen	verwijzend
vestigen	vestigend
volgen	volgend
voorkomen	voorkomend
vragen	vragend
werken	werkend
worden	wordend
zitten	zittend
zorgen	zorgend
