aankondigen	aangekondigd
accepteren	geaccepteerd
beheren	beheerd
bereiken	bereikt
beschrijf	beschreven
beslissen	besloten
besteden	besteed
bijwonen	bijgewoond
blijven	bleven
eten	gegeten
geloof	geloofde
genieten	genoten
gerelateeren	gerelateerd
geworden	werd
hoor	gehoord
identificeren	geïdentificeerd
introduceren	geïntroduceerd
lijken	lijkt
lokaliseren	gelokaliseerd
maken	gemaakt
nemen	genomen
omvatten	omvat
ontdekken	ontdekt
ontvangen	ontvangt
ontwikkelen	ontwikkeld
overwegen	overwogen
presteren	gepresteerd
publiceren	gepubliceerd
sluiten	gesloten
toepassen	toegepast
toestaan	toegestaan
toevoegen	toegevoegd
trouwen	getrouwd
uitvoeren	uitgevoerd
verbeteren	verbeterd
vereisen	vereist
verenigen	verenigd
verliezen	verloren
verminderen	verminderd
verschijnen	verschenen
verstaan	verstond
vertellen	verteld
vervangen	vervangt
verwachten	verwacht
verwijzen	verwezen
verzonden	verzondt
vestigen	gevestigd
volgen	gevolgd
vraag	gevraagd
zorgen	gezorgd
