adverterend	adverteert
bedankend	bedankt
begrijpend	begrijpt
beherend	beheert
beschermend	beschermt
beschrijvend	beschrijft
bestaand	bestaat
betrekkend	betrekt
bevattend	bevat
bevorderend	bevordert
biedend	biedt
blijvend	blijft
creërend	creëert
etend	eet
gaand	gaat
gebeurend	gebeurt
gelovend	gelooft
genietend	geniet
horend	hoort
leggend	legt
lerend	leert
lijkend	lijkt
makend	maakt
omvattend	omvat
onderhoudend	onderhoudt
ontdekkend	ontdekt
onthoudend	onthoudt
ontvangend	ontvangt
ontwikkelend	ontwikkelt
opererend	opereert
overwegend	overweegt
presterend	presteert
promotend	promotet
publicerend	publiceert
relaterend	relateert
suggererend	suggereert
tredend	treedt
verbeterend	verbetert
vereisend	vereist
verliezend	verliest
verminderend	vermindert
verschijnend	verschijnt
verstrekkend	verstrekt
vertegenwoordigend	vertegenwoordigt
vertellend	vertelt
verwijzend	verwijst
volgend	volgt
vragend	vraagt
wordend	wordt
zittend	zit
