aankondigend	aangekondigd
beherend	beheerd
benoemend	benoemd
beslissend	beslist
bestedend	besteed
bevattend	bevat
gapend	gegaapt
hangend	gehangen
hordend	gehoord
huilend	gehuild
klagend	geklaagd
komend	gekomen
lijdend	geleden
lokaliserend	gelokaliseerd
lopend	gelopen
niezend	geniesd
onderwijzend	onderwezen
ontvangend	ontvangen
ontwikkelend	ontwikkeld
overeenkomend	overeengekomen
overwegend	overwogen
pratend	gepraat
publicerend	gepubliceerd
regend	geregend
scratchend	gescratcht
staand	gestaan
storend	gestoord
toepassend	toegepast
toevoegend	toegevoegd
verbeterend	verbeterd
vereisend	vereist
verenigend	verenigd
verliezend	verloren
verminderend	verminderd
vermoedend	vermoed
versterkend	verstrekt
vertegenwoordigend	vertegenwoordigd
vertellend	verteld
vertrouwend	vertrouwd
vervangend	vervangen
verwachtend	verwacht
verzendend	verzonden
volgend	gevolgd
voorstellend	voorgesteld
vragend	gevraagd
werkend	gewerkt
ziend	gezien
zingend	gezongen
zoenend	gezoend
zwemmend	gezwommen
