bedient	bediend
bedoelt	bedoeld
begrijpt	begreept
beheert	beheerd
benoemt	benoemd
beoogt	beoogd
beschrijft	beschreven
bestaat	bestond
betrokt	betrokken
blijft	gebliefd
creëert	gecreëerd
gaat	gegaan
gebeurt	gebeurd
geldt	gegolden
hoort	gehoord
introduceert	geïntroduceerd
kondigt	gekondigd
lokaliseert	gelokaliseerd
maakt	gemaakt
meent	gemeend
neemt	genomen
omvat	omvat
ontvangt	ontvangt
ontwikkelt	ontwikkeld
overweegt	overwogen
presteert	gepresteerd
publiceert	gepubliceerd
relateert	gerelateerd
sluit	gesloten
toepast	toegepast
toevoegt	toegevoegd
treedt	getreedt
trouwt	getrouwd
uitvoert	uitgevoerd
verbetert	verbeterd
vereist	vereisd
verenigt	verenigd
verliest	verloren
verschijnt	verschenen
vertegenwoordigt	vertegenwoordigd
vertelt	verteld
vervangt	vervangd
verwijst	verwezen
vestigt	gevestigd
voegt	gevoegd
volgt	gevolgd
vraagt	gevraagt
weegt	wogen
wordt	gewordt
zorgt	gezorgd
