acht	achteloos
adem	ademloos
afweer	afweerloos
arge	argeloos
arm	armloos
baard	baardloos
been	beenloos
betekenis	betekenisloos
bodem	bodemloos
contact	contactloos
dacht	dachtloos
doelpunt	doelpuntloos
dood	doodloos
ego	egoloos
emotie	emotieloos
fout	foutloos
geld	geldloos
geloof	geloofloos
geluk	gelukloos
geslacht	geslachtloos
geur	geurloos
god	goddeloos
grens	grenzeloos
haar	haarloos
hart	harteloos
harte	harteloos
hoop	hopeloos
humor	humorloos
inspanning	inspanningsloos
kind	kinderloos
kraag	kraagloos
kunst	kunstloos
leven	levenloos
lust	lusteloos
mededogen	meedogenloos
moeite	moeiteloos
mouw	mouwloos
pijn	pijnloos
schuld	schuldeloos
sensor	sensorloos
spraak	sprakeloos
tact	tactloos
talent	talentloos
uitdrukking	uitdrukkingsloos
vlees	vleesloos
vriend	vriendloos
vrolijk	vrolijkloos
wette	wetteloos
wrijving	wrijvingsloos
ziel	zielloos
