aangenaam	onaangenaam
aanvaardbaar	onaanvaardbaar
achtzaam	onachtzaam
afgewerkt	onafgewerkt
afwendbaar	onafwendbaar
bedoeld	onbedoeld
begrijpelijk  onbegrijpelijk
bekend	onbekend
beoogd	onbeoogd
beperkt	onbeperkt
beschikbaar	onbeschikbaar
betaald	onbetaald
betrouwbaar	onbetrouwbaar
bevredigend	onbevredigend
competent	incompetent
duurzaam	onduurzaam
eerlijk	oneerlijk
eetbaar	oneetbaar
geautoriseerd	ongeautoriseerd
gebruikelijk	ongebruikelijk
gebruikt	ongebruikt
gecontroleerd	ongecontroleerd
geduldig	ongeduldig
gelooflijk	ongelooflijk
gelukkig	ongelukkig
gemakkelijk	ongemakkelijk
gepubliceerd	ongepubliceerd
geschikt	ongeschikt
gespecificeerd	ongespecificeerd
gewenst	ongewenst
gezond	ongezond
geïdentificeerd	ongeïdentificeerd
juist	onjuist
nodig	onnodig
opgelost	onopgelost
opgemerkt	onopgemerkt
partijdig	onpartijdig
populair	impopulair
realistisch	onrealistisch
rechtmatig	onrechtmatig
redelijk	onredelijk
veranderd	onveranderd
vergetelijk	onvergetelijk
vermijdelijk	onvermijdelijk
versluierd	onversluierd
verwacht	onverwacht
voorspelbaar	onvoorspelbaar
voorwaardelijk	onvoorwaardelijk
wenselijk	onwenselijk
zeker	onzeker
