aanzien	aanzienlijk
avond	avondlijk
avontuur	avontuurlijk
begrijp	begrijpelijk
doorgang	doorgankelijk
dwaze	dwaselijk
eer	eerlijk
eigendunk	eigendunkelijk
einde	eindelijk
feest	feestelijk
gebeur	gebeurlijk
geleide	geleidelijk
gemeen	gemeenlijk
hart	hartelijk
heuse	heuselijk
hoge	hogelijk
huis	huislijk
ijdel	ijdellijk
jonkvrouwe	jonkvrouwelijk
kind	kinderlijk
klooster	kloosterlijk
kommer	kommerlijk
korte	kortelijk
land	landelijk
landsheer	landsheerlijk
lichtvaardig	lichtvaardiglijk
listig	listiglijk
majesteit	majesteitelijk
man	manlijk
merk	merkelijk
minne	minnelijk
onbegrip	onbegrijpelijk
paradijs	paradijselijk
trouwe	trouwelijk
verdomme	verdommelijk
verkeerde	verkeerdelijk
verkies	verkieslijk
verschrik	verschrikkelijk
verzette	verzettelijk
vlees	vleselijk
voorbedachte	voorbedachtelijk
voorouder	voorouderlijk
vriendschap	vriendschappelijk
vrouwe	vrouwelijk
weduwe	weduwlijk
weide	weidelijk
woord	woordelijk
wrede	wredelijk
zin	zinlijk
zintuig	zintuigelijk
