aangedreven	overaangedreven
aftelbaar	overaftelbaar
belast	overbelast
belicht	overbelicht
beschermd	overbeschermd
bevolkt	overbevolkt
bodig	overbodig
enthousiast	overenthousiast
gecompenseerd	overgecompenseerd
gegoten	overgegoten
gegroeid	overgroeid
gehaast	overgehaast
geijld	overijld
gejaagd	overgejaagd
gejaagd	overgejaagd
gekookt	overgekookt
gekwalificeerd	overgekwalificeerd
geladen	overgeladen
geloof	overgeloof
geschilderd	overgeschilderd
geschreven	overschreven
gespeeld	overspeeld
gestimuleerd	overgestimuleerd
gevoelig	overgevoelig
gevraagd	overvraagd
gewerkt	overgewerkt
gezouten	overgezouten
groot	overgroot
ijverig	overijverig
koepelend	overkoepelend
matig	overmatig
moed	overmoed
moedig	overmoedig
ontwikkeld	overontwikkeld
optimistisch	overoptimistisch
schaduwd	overschaduwd
schilderd	overschilderd
spanning	overspanning
tekend	overtekend
tollig	overtollig
val	overval
verhit	oververhit
verkocht	oververkocht
vertegenwoordigd	oververtegenwoordigd
verzadigd	oververzadigd
verzadiging	oververzadiging
verzekerd	oververzekerd
vol	overvol
voorraad	overvoorraad
zelfverzekerd	onzelfverzekerd
