aantrekkelijk	aantrekkelijkheid
behulpzaam	behulpzaamheid
bewust	bewustzijn
creatief	creativiteit
donker	donkerheid
duidelijk	duidelijkheid
effectief	effectiviteit
ernstig	ernst
gebroken	gebrokenheid
gelijk	gelijkheid
gelukkig	geluk
gemarkeerd	gemarkeerdheid
gerelateerd	gerelateerdheid
gericht	gerichtheid
gevaarlijk	gevaarlijkheid
goedkoop	goedkoopheid
groot	grote
heilig	heiligheid
hete	heetheid
indrukwekkend	indruk
innovatief	innovativiteit
interessant	interessantheid
klein	kleinheid
mooi	mooiheid
nuttig	nut
onderscheidend	onderscheidendheid
paraat	paraatheid
pur	puurheid
rechtvaardig	rechtvaardigheid
redelijk	redelijkheid
rijk	rijkheid
snel	snelheid
toegewijd	toewijding
uitgebreid	uitgebreidheid
uitgestrekt	uitgestrektheid
uniek	uniciteit
vanzelfsprekend	vanzelfsprekendheid
vast	vastheid
verbazingwekkend	verbazing
verbonden	verbondenheid
verborgen	verborgenheid
verdrietig	verdriet
voorbereid	voorbereidheid
vreemd	vreemdheid
vriendelijk	vriendelijkheid
waanzinnig	waanzin
willekeurig	willekeur
zeldzaam	zeldzaamheid
zorgvuldig	zorgvuldigheid
zwak	zwakte
