aanleggen	heraanleggen
bebossen	herbebossen
beginnen	herbeginnen
bekijken	herbekijken
bereken	herbereken
boden	herboden
boren	herboren
bouwen	herbouwen
bouwt	herbouwt
bronnen	herbronnen
deden	herdeden
doen	herdoen
dopen	herdopen
federaliseren	herfederaliseren
gaven	hergaven
geven	hergeven
goten	hergoten
groeperen	hergroeperen
halen	herhalen
kapitaliseren	herkapitaliseren
kauwen	herkauwen
kneden	herkneden
kwalificeren	herkwalificeren
laden	herladen
lanceren	herlanceren
lazen	herlazen
leiden	herleiden
lezen	herlezen
maken	hermaken
nemen	hernemen
open	heropen
openen	heropenen
opstarten	heropstarten
oriënteren	heroriënteren
pakken	herpakken
rijzen	herrijzen
roepen	herroepen
schilderen	herschilderen
schrijven	herschrijven
sloten	hersloten
smeden	hersmeden
sorteren	hersorteren
spoten	herspoten
spuiten	herspuiten
stellen	herstellen
tekenen	hertekenen
telden	hertelden
vallen	hervallen
werken	herwerken
zien	herzien
