aaien	aaibaar
aannemen	aanneembaar
aanpassen	aanpasbaar
aanvaarden	aanvaardbaar
achten	achtbaar
afwenden	afwendbaar
afzinken	afzinkbaar
bedenken	bedenkbaar
behapen	behapbaar
beheren	beheerbaar
belasten	belastbaar
bereiken	bereikbaar
beschikken	beschikbaar
besteden	besteedbaar
betalen	betaalbaar
betrouwen	betrouwbaar
betwisten	betwistbaar
bevaren	bevaarbaar
bewegen	beweegbaar
bewonen	bewoonbaar
blijken	blijkbaar
branden	brandbaar
breken	breekbaar
bruiken	bruikbaar
danken	dankbaar
dansen	dansbaar
demonteren	demonteerbaar
denken	denkbaar
dragen	draagbaar
drinken	drinkbaar
drukken	drukbaar
eten	eetbaar
falsificeren	falsifieerbaar
hanteren	hanteerbaar
herbruiken	herbruikbaar
herkennen	herkenbaar
herladen	herlaadbaar
horen	hoorbaar
houden	houdbaar
inverteren	inverteerbaar
kenen	kenbaar
klikken	klikbaar
kosten	kostbaar
lesen	leesbaar
maken	maakbaar
melken	melkbaar
meten	meetbaar
openen	openbaar
tasten	tastbaar
uitnemen	uitneembaar
