aanbesteden	aanbesteder
aanbevelen	aanbeveler
aanbidden	aanbidder
aanbieden	aanbieder
aanbrengen	aanbrenger
aandeelhebben	aandeelhebber
aangeven	aangever
aanhangen	aanhanger
aanhouden	aanhouder
aanklagen	aanklager
aankondigen	aankondiger
aannemen	aannemer
aanranden	aanrander
aansteken	aansteker
aanvallen	aanvaller
achterladen	achterlader
achtervolgen	achtervolger
adverteerden	adverteerder
afzenden	afzender
arbeiden	arbeider
bedenken	bedenker
bedienen	bediener
bedriegen	bedrieger
beeldhouwen	beeldhouwer
begeleiden	begeleider
beginnen	beginner
beheerden	beheerder
behoeden	behoeder
bevrijden	bevrijder
bewaarden	bewaarder
bewaken	bewaker
bewonen	bewoner
bezetten	bezetter
bezitten	bezitter
bezoeken	bezoeker
bezorgen	bezorger
bijeenhouden	bijenhouder
bloggen	blogger
boekhouden	boekhouder
boksen	bokser
boogschieten	boogschieter
bouwen	bouwer
brengen	brenger
brouwen	brouwer
bruiken	bruiker
dagdromen	dagdromer
dansen	danser
denken	denker
dichten	dichter
drinken	drinker
