adverteren	advertentie
arresteren	arrestatie
collecteren	collectie
combineren	combinatie
communiceren	communicatie
competeren	competitie
compileren	compilatie
condenseren	condensatie
configureren	configuratie
consumeren	consumptie
converteren	conversie
correcteren	correctie
declareren	declaratie
decoreren	decoratie
definiëren	definitie
deformeren	deformatie
degraderen	degradatie
directeren	directie
doneren	donatie
garanderen	garantie
imiteren	imitatie
improviseren	improvisatie
inflateren	inflatie
informeren	informatie
injecteren	injectie
inspecteren	inspectie
inspireren	inspiratie
installeren	installatie
instrueren	instructie
koloniseren	kolonisatie
maximaliseren	maximalisatie
mediteren	meditatie
minimaliseren	minimalisatie
noteren	notitie
observeren	observatie
opereren	operatie
optimaliseren	optimalisatie
organiseren	organisatie
presenteren	presentatie
presteren	prestatie
realiseren	realisatie
reduceren	reductie
reflecteren	reflectie
reorganiseren	reorganisatie
repareren	reparatie
situeren	situatie
specialiseren	specialisatie
stabiliseren	stabilisatie
transpireren	transpiratie
visualiseren	visualisatie
