aanleiden	aanleiding
afladen	aflading
afleiden	afleiding
afzanden	afzanding
beduiden	beduiding
bekladden	bekladding
bekleden	bekleding
belenden	belending
bepalen	bepaling
bereken	berekening
beschaven	beschaving
beschuldigen	beschuldiging
betreden	betreding
bevatten	bevatting
bevoorraden	bevoorrading
beweren	bewering
bewonderen	bewondering
bezetten	bezetting
duiden	duiding
globaliseren	globalisering
inwijden	inwijding
kleden	kleding
medeeden	mededing
moderniseren	modernisering
onderzoeken	onderzoek
ontnemen	ontneming
opleiden	opleiding
privatiseren	privatisering
redden	redding
rijden	rijding
schenden	schending
spreiden	spreiding
standaardiseren	standaardisering
terugzenden	terugzending
uitladen	uitlading
upgraden	upgrading
verbeelden	verbeelding
verkennen	verkenning
verklaren	verklaring
verladen	verlading
verleiden	verleiding
verlichten	verlichting
vermelden	vermelding
verplichten	verplichting
verweiden	verweiding
voeden	voeding
voorbereiden	voorbereiding
voortzetten	voortzetting
wenden	wending
zenden	zending
