Abuja	Nigeria
Amman	Jordanië
Ankara	Turkije
Athene	Griekenland
Bagdad	Irak
Bangkok	Thailand
Peking	China
Beiroet	Libanon
Belgrado	Servië
Berlijn	Duitsland
Bern	Zwitserland
Boekarest	Roemenië
Brussel	België
Boedapest	Hongarije
Canberra	Australië
Caïro	Egypte
Conakry	Guinea
Damascus	Syrië
Dhaka	Bangladesh
Dublin	Ierland
Hanoi	Vietnam
Havana	Cuba
Helsinki	Finland
Islamabad	Pakistan
Jakarta	Indonesië
Kabul	Afghanistan
Kiev	Oekraïne
Kingston	Jamaica
Kopenhagen	Denemarken
Lima	Peru
Lissabon	Portugal
Londen	Groot-Brittannië/Engeland
Madrid	Spanje
Manila	Filipijnen
Moskou	Rusland
Nairobi	Kenia
Oslo	Noorwegen
Ottawa	Canada
Parijs	Frankrijk
Rome	Italië
Santiago	Chili
Sofia	Bulgarije
Stockholm	Zweden
Taipei	Taiwan
Tbilisi	Georgië
Teheran	Iran
Tokio	Japan
Warschau	Polen
Wenen	Oostenrijk
Zagreb	Kroatië
