Andorra	Catalaans
Argentinië	Spaans
Australië	Engels
Bahama's	Engels
Bangladesh	Bengaals/Bangla
Barbados	Engels
Belize	Engels
Bolivia	Spaans
Brazilië	Portugees
Cambodja	Khmer
Canada	Engels/Frans
Chili	Spaans
Colombia	Spaans
Cuba	Spaans
Cyprus	Grieks/Turks
Denemarken	Deens/Faeröers/Groenlands/Duits
Ecuador	Spaans/Quechua
Egypte	Arabisch
Ethiopië	Amhaars
Fiji	Engels
Filipijnen	Tagalog/Filipino
Guadeloupe	Frans
Guam	Engels/Chamorro
Guatemala	Spaans
Guyana	Engels
Haïti	Creools/Frans
Ierland	Engels/Iers/Gaelisch
Iraan	Perzisch
Irak	Arabisch/Koerdisch
Israël	Hebreeuws/Arabisch
Jamaica	Engels/Creools
Jordanië	Arabisch
Kazachstan	Kazak/Qazaq/Russisch
Koeweit	Arabisch
Kosovo	Albanees/Servisch
Marokko	Berber/Arabisch
Mexico	Spaans/Nahuatl
Moldavië	Moldavisch/Roemeens
Mozambique	Portugees
Nederland	Nederlands/Fries
Nicaragua	Spaans
Noorwegen	Noors/Bokmål/Bokmal/Nynorsk
Oostenrijk	Duits
Palestijn	Arabisch
Peru	Spaans
Syrië	Arabisch
Taiwan	Chinees
VS	Engels
Venezuela	Spaans
Zwitserland	Duits/Frans/Italiaans
