Andersen	dichter/schrijver/auteur
Aristoteles	filosoof
Balzac	schrijver/romanschrijver
Beethoven	componist
Caesar	keizer/commandant/leider
Columbus	ontdekkingsreiziger
Confucius	filosoof
Dante	dichter
Darwin	naturalist/bioloog/geoloog
Depp	producer/muzikant/acteur
Descartes	wiskundige/filosoof
Dickens	auteur/criticus/schrijver/romanschrijver
Edison	zakenman/uitvinder
Einstein	natuurkundige/wetenschapper
Euler	wiskundige/astronoom/ingenieur/logicus/natuurkundige
Goethe	romanschrijver/auteur/schrijver/dichter/toneelschrijver
Hawking	fysicus/wetenschapper
Haydn	componist
Hegel	filosoof
Hitler	nazi/politicus/dictator
Hume	politicus/filosoof
Jolie	humanitaire/filmmaker/activist/actrice/regisseur
Kant	filosoof
Kepler	wiskundige/astronoom/natuurkundige/astroloog
Lincoln	president
Locke	filosoof
Marx	communist/filosoof
Maxwell	natuurkundige/wetenschapper
Mencius	filosoof
Michelangelo	dichter/ingenieur/beeldhouwer/architect/kunstenaar/schilder
Mozart	componist
Mozes	profeet/leider
Napoleon	keizer/politicus/commandant/leider
Newton	filosoof/wiskundige/psysicus/wetenschapper
Pacino	acteur/filmmaker/regisseur
Pascal	wiskundige/filosoof
Picasso	kunstenaar/schilder/beeldhouwer/ontwerper
Plato	filosoof
Raphael	kunstenaar/schilder/architect
Rembrandt	etser/schilder/kunstenaar
Rousseau	filosoof/schrijver/auteur
Schwarzenegger	acteur/politicus/gouverneur
Shakespeare	dichter/toneelschrijver
Spinoza	filosoof
Stalin	staatsman/leider/politicus/dictator
Strauss	componist
Tolstoi	filosoof/schrijver/romanschrijver
Truman	president
Wagner	componist
Wittgenstein	filosoof
