aap	kind/jong
antiloop	kalf
beer	welp
bosmarmot	kit/cob
buffel	kalf
chimpansee	baby/zuigeling
cicade	nimf
cricket	larve
dolfijn	kalf
duif	pieper
eend	eendje/piel/pijltje/eendenkuiken/pul
eland	kalf
ezel	veulen/ezelsveulen
forel	vingerling
goudvis	vingerling/fry
haring	vingerling/fry
hond	puppy/pup/jong
honingbij	larve
insect	larve
kakkerlak	nimf
kameel	kalf/veulen
kat	katje
kever	larve
kikker	kikkervisje
kip	kuiken
koe	kalf
konijn	herten
leeuw	welp
muskusrat	kit
nijlpaard	kalf
olifant	kalf
os	kalf/stot
paard	veulen/hengstveulen
panda	welp
reeën	fawn/bockkitz
robbe	howler
schaap	lam/cosset
tijger	welp
varken	big/shoat/farrow
vis	fingerling/spawn/ei/larve/bak/minmow
vlinder	larve/pop/rups
vogel	kuiken
vos	cub/pup/puppy/whelp
walvis	kalf
wasbeer	kit/welp
wezel	kit
wolf	welp/pup/pup
zalm	smolt
zebra	veulen
zeehond	pup
