aap	krijsen/schreeuwen/brullen/oe-oe-oe
beer	grommen/brullen
bij	zoemen/tuten/bzzz
chimpansee	schreeuwen
cicade	gezoem/zoemen
duif	koeren/roekoeën/roekoe
eend	snateren/kwaken/kwek/kwak
ekster	klappen/kwekken/kekkeren
ezel	balken/iaën/giegagen/ia-ia-ia
gans	gaggelen/gakken/gakkeren/snateren/kwekken
geit	mekkeren/mèèh
haan	kraaien/kukeleku
hert	burlen/briesen
hond	blaffen/bassen/keffen/huilen/janken/woef/waf
jakhals	lachen
kalkoen	klokken/snateren
kat	mauwen/miauwen/spinnen/miauw
kikker	kwaken/kwakken/rikkekikken/kwekken/brullen/rikken/kwak
kip	kakelen/tokken/klokken/tok
koe	loeien/bulken/boe
koekoek	roepen/koekoek
korhoen	balderen
krekel	sjirpen/tjirpen
kwartel	slaan/kwakken
leeuw	brullen
luipaard	grommen
meeuw	krijsen/kolderen
muis	piepen/piep
mus	sjilpen/piepen
olifant	trompetteren/trompetten/trompen/beren
ooievaar	kleppen/klepperen
paard	hinniken/briesen
papegaai	praten/klappen/snateren/krauwen/krijsen
raaf	krassen/klappen/krauwen
ratelslang	ratelen
ree	briesen/fiepen
rund	loeien/bulken/boe
schaap	blaten/blèren/mekkeren/bèèh
slang	sissen
tijger	brullen
tortelduif	kirren/roekoe
uil	huilen/roepen/krassen/oehoeën/schreeuwen
valk	kiekeren/krijsen
varken	knorren/gillen/gieren
vink	tjokken/tjokkelen
walvis	zingen
wesp	gezoem/zoemen
wolf	huilen/janken
zangvogel	fluiten/zingen/piepen/slaan/gillen/gieren/tjilpen/tjotteren/striduleren
zeehond	blaffen/huilen
