aardappel	bruin
appel	rood/oranje/geel/gouden
blader	groen/rood/geel
blauwe	plek/paars
bloed	rood
bloemkool	wit/groen/geel/geelachtig
bosbes	blauw/zwart
broccoli	groen
chocolade	wit/bruin/zwart
cranberry	rood/paars/roze
crème	wit
druiven	zwart/rood/groen/paars
gras	groen
grond	zwart/bruin/donker
hemel	blauw/grijs
kers	rood/geel/zwart
kikker	groen/bruin/grijs
koelkast	wit/zilver/zwart
koffie	zwart/bruin
kolen	zwart
komkommer	groen
kool	groen
kraai	zwart
melk	wit
mier	zwart/bruin/rood
papier	wit/kleur
peper	zwart/rood/groen/geel/oranje
peterselie	groen
pioen	rood/wit/roze/paars
raaf	zwart
radijs	rood/roze/wit/groen/zwart
robijn	rood
roze	rood/geel/roze/wit/blauw
saffier	blauw
schoolbord	zwart/groen
selder	groen/wit/bruin
smaragd	groen
sneeuw	wit
sonne	geel/goud
spinazie	groen
suiker	wit/bruin
tandpasta	wit
thee	zwart/groen/wit/rood/bruin/geel
tomaat	rood
wolk	wit/grijs
wortel	oranje/rood/geel
yoghurt	wit/roze
zee	blauw/groen/grijs
zout	wit
zwaan	wit/zwart/grijs
