acteur	actrice
agent	agente
batman	batwoman
bediend	meid/dienstmeid/dienstmeisje/kamermeisje/dienstmaagd/dienstmaagd/parlormaid/parlourmaid
beeldhouwer	beeldhouwster
broer	zus
bruidegom	bruid
dichter	dichteres
erfgenaam	erfgename
god	godin
grootvader	grootmoeder
haan	kip
heer	dame/vrouw/mevrouw
held	heldin
hengst	merrie
hertog	hertogin
hound	teef
jongen	meisje
keizer	keizerin
kleinzoon	kleindochter
koning	koningin
leeuw	leeuwin
leraar	lerares
man	vrouw
meester	meesteres
meneer	mevrouw
mijnheer	miss/missis/missus/mis'ess/mevrouw/ms/mevrouw
moordenaar	moordenares
neef	nicht
ober	serveerster
oom	tante
opa	oma
papa	mama
politieagent	politieagente
prins	prinses
ram	ooi
regent	regentes
schoolhoofd	directrice
speler	speelster
stiefvader	stiefmoeder
stier	koe
student	studente
superman	supervrouw
tijger	tijgerin
vader	moeder
voorzitter	voorzitster
vos	vixen
zakenman	zakenvrouw
zoon	dochter
zwijnen	zaaien
