atmosfeer	waterstof/ozon/stikstof/zuurstof/gas
baard	haar
beton	silicium/cement/si/zand/water
brons	koper/cu/tin
brood	meel/gist
bureau	stalen/metalen/hout
cent	koper/legering/zink/tin/brons/metaal/nikkel
chocolade	cacao/boon/cacaoboon
cocktail	sap/alcohol/water
dak	metaal/tegels/hout
deurknop	metaal/staal/hout/brons
diamant	koolstof
draad	metaal
elastiek	rubber
fles	glas/plastic
gazon	gras
gebak	meel/ei/boter/vulling
geld	koper/ijzer/zilver/goud/papier/tin/metaal
glas	siliconen
gletsjer	waterstof/o/h/h2o/ijs/zuurstof/water
huis	klei/cement/baksteen/hout
ijs	waterstof/o/h/water2/zuurstof/water
ijspegel	water/ijs
jam	fruit/suiker
jeans	stof/denim
kandij	honing/fruit/melasse/gelatine/chocolade/nougat/siroop/noten/suiker
karton	buxus/kartonnen/blik
kleding	stof/leer
kunststof	olie/polymeer/gas/kolen
laarzen	canvas/leer
lens	glas/kunststof
lepel	staal/aluminium/hout
lichaam	vlees/bot
muur	modder/stenen/bakstenen/hout/rotsen/klei/karton/plank/cement
omelet	melk/ei/kaas/eieren
pil	medicijn
pruik	haar
schaal	porselein/hout/staal/glas/kunststof/klei/aluminium
sneeuw	waterstof/vlok/o/water2/sneeuwvlokken/h/sneeuwvlok/ijs/zuurstof/water
spiegel	brons/glas
staal	ijzer/ijzercarbide/ferriet/koolstof/pearliet/fe/cementiet
strand	silicium/rotsen/kiezels/si/zand
tafel	plastic/metalen/houten
tas	stof/leer/kunststof
vlag	doek/papier
water	waterstof/o/h/zuurstof
wijn	druiven
wolk	stoom/waterdamp/water
yoghurt	melk
zee	water
