acrobaat	groep
antilope	kudde
auto	processie/trein
bloem	bos/boeket
boek	accounting/collectie/bibliotheek/plank
boom	bos/hout
burger	land/staat
christelijke	gemeente/parochie/kerk
divisie	bedrijf/peloton/business
echtgenoot	echtpaar/gezin/relatie
foto	album/collectie/bibliotheek
heelal	universum
hogeschool	universiteit
honingbij	bijenkorf/stand/zwerm/kolonie/cast/drift/nest
jurylid	jury
kal	vee/kudde
kat	verblindend/rommel/bespringen
katje	nest
kippen	vel
koe	kudde
olifanten	udde
kraai	moord
kudde	schapen
leerling	school/klas
leeuw	trots
letter	alfabet
lid	club/groep/gemeenschap/band/team
lied	album/anthologie/collectie/bibliotheek
luisteraar	publiek
muzikant	orkest/band
nomade	hoorde
pagina	notebook/website/boek
parochiaan	parochie/kerk
persoon	bedrijf/feest/wereld/samenleving
politieagent	politie
provincie	land/staat
regel	gedicht
senator	senaat/huis
soldaat	eenheid/troep/divisie/leger
speler	orkest/groep/team
staat	land/provincie
sterren	sterrenbeeld/sterrenstelsel
struik	struikgewas
vee	kudde
vis	school
vogel	zwerm
werker	bedrijf/medewerkers
wolf	roedel
woord	tekst/zin/paragraaf
zanger	koor/band/kwartet/trio/duo/zangkoor
