aangedaan	ziek/getroffen
aap	gorilla
afschuw	angstig/vervuld/stijf/paniekerig/versteend/bang
bang	doodsbang
boos	verergerd/ziedend/woedend/verontwaardigd
creatief	bedachtzaam/innovatief/origineel/demiurgisch/ingenieus/inventief
dutje	rust/sluimer/slaap
geliefde	verliefdheid/zorg/liefde/fond/crush
geloof	ijver/fanatisme
gelukkig	extatisch/rapsodisch/verrukt
giechelen	chortle/snicker/brullen/guffaw/titter/lach/snigger
goed	bloeiend/booming/robuust/welvarend
grinniken	snicker/brullen/guffaw/titter/lachen/snigger
groot	uitgestrekt/enorm/reusachtig/immens/gigantisch
hekel	veroordelen/verfoeien/haten/verachten/verafschuwen
hond	wolf
hongerig	uitgehongerd
huilen	krijsen/schreeuwen
huis	paleis/kasteel
interessant	intrigerend/inspirerend/bedwelmend/spannend/oogverblindend/arresterend/stimulerend/opwindend/opwekkend/provocerend/bewegend
irriteer	woedend/gek/umbrage/woede/stoom/wierook
jog	scharlaken/vliegen/vluchten/rennen
kat	leeuw/tijger/luipaard/panter/jaguar
knap	mooi/schattig
lekker	jammerlijk/heerlijk/pijnlijk/ambrosiaal/ellendig/vervelend/wanhopig/vreselijk/uitgeput/betreurenswaardig/verrukkelijk/lijden/overheerlijk/rampzalig/hopeloos/lekker
liefde	heldenverering/aanbidden/verheerlijken/vereren/fetisjeren
meer	oceaan/zee
motregen	zondvloed/raifall/douche/regen
noodzakelijk	vitaal/vereist/onmisbaar/essentieel
opgewonden	nerveus
pijn	marteling/kwelling
pony	paard
portemonnee	portefeuille/geldbeurs/geldbeugel
regen	stortvloed/douche
saai	verzachtend/vermoeiend/vervelend/irritant/ho-hum
schuldig	berouwvol/verdrietig/onwaardig
slecht	afschuwelijk/vreselijk/onuitsprekelijk/pijnlijk
sluimeren	slapen
snack	maaltijd/eten
sterk	super/krachtig
tegenovergestelde	afkerig/walgelijk/ongesteld/loth/antipathetisch
verdrietig	wanhopig/verlaten/melancholie/hopeloos
verward	gevangen/wanhopig/verbijsterd/verloren
vochtig	verzadigd/soppig/doorweekt/banket/feest/druipend/doordrenkt
vragen	aandringen/smeken/bidden
vriendelijk	aardig/lief/liefdevol/gedienstig/behulpzaam/zelfingenomen/minzaam
warm	vlammend/roodgloeiend/witgloeiend/verwarmd/heet/verzengend/vurig/sensueel/sissend/zwoel
willen	dorst/verhongeren/hunkeren/honger/lust
wind	storm/orkaan/cycloon
zee	oceaan
