auto	wagen
baby	babe/zuigeling
beschonken	aangeschoten
bloem	bloei/bloesem
bureau	schrijftafel
dame	mevrouw/vrouw/dame
doek	stof/materiaal/textiel
douche	stortbad
duimspijker	punaise
eerlijk	direct/waarheidsgetrouw/oprecht/vindingrijk/waar
etage	verdieping
gedeelte	component/bestanddeel/part
georganiseerd	corporate/geregeld/opgenomen/geconfigureerd
helpen	assisteren
herstel	herstellen/armatuur/patch/fix/stop/reparatie/bevestiging
hiëroglyfe	pictogram
homogeen	onveranderlijk/uniform
humeur	stemming
identiek	hetzelfde
intelligent	slim
juweel	edelsteen/steen
kapot	stuk
kind	minderjarige/jongere
kust	bank/strand
lijst	opsomming
loyaal	waar/toegewijd/trouw/betrouwbaar
lui	otiose/luiheid/indolent/faineant
maar	echter
markt	marktplaats/bazaar/mart
mesh	save-all/tule/net/grillwerk/haarnet/reseau/snood/sparker/sluier/gaas/draadwerk
moeder	mama
monument	gedenkteken
moord	executie/doden
nadruk	accentuatie/accent/stress/betekenis/belang
nieuw	modern/recent
onjuist	foutief/fout/contrafeitelijk/misleidend/ondeugdelijk/onwaar/onnauwkeurig
pakket	bundel
portemonnee	beurs
rationeel	redelijk/gezond/coherent/logisch
redelijk	verstandig
rots	steen
schurk	boef
snoepgoed	zoetwaren/dessert/gebak
sofa	lounge/slaapbank
stijl	mode/manier/modus
succes	voorspoed
vader	papa
verouderd	achterhaald/oud
verward	verbijsterd/verloren/doolhof
woordenschat	woordenboek/woordenlijst/lexicon
