bekwaam	incompetent/ongelijk/onbekwaam
beslissend	besluiteloos/aarzelend
bewust	onbewust/ongevoelig/nietsvermoedend/onwetend/onverschillig/onoplettend
bezorgd	blase/nonchalant/onbezorgd/onzorgvuldig/blithe/onthecht/degage/onverschillig
bleek	bruingebruind/gebruind/donkerbruin/brunette
blij	sorry/weemoedig/treurig/verontrustend/bitterzoet/tragisch/verdrietig/tragikomisch/betreurenswaardig/peinzend/zielig/melancholisch/zwaarmoedig
breed	smal/dun/vernauwend/beperkt/vernauwd/vernauwing/slank/zeestraat/straplike
competent	ongeschoold/incompetent/ongekwalificeerd/inefficiënt
dichtbij	ver/verwijderd
dik	afgetobd/draadachtig/anorectisch/gangling/slungelig/anorexia/dun/skelet/kadaverachtig/sliertachtig/benig/slungelachtig/vezelig/mager/verspild/spichti/piekerig/uitgemergeld/geknepen
droog	drassig/beddewed/gewassen/regenachtig/modderig/klam/reuma/waterig/doorweekt/nat/druipend/stinkend/bedauwd/besprenkelen/mistig/stomen/stomend/slordig/soppig/benauwd/buiig/moerassig/vochtig/druilerig/plakkerig
duidelijk	onduidelijk/ondefinieerbaar/ongedefinieerd/vaag/obscuur
eenvoudig	veeleisend/uitdagend/ontmoedigend/belastend/moeilijk/ingewikkeld
energiek	versuft/niet-energiek/suf/logy/dromerig/lethargisch/mistig/lusteloos/stuporous/inactief/gebrekkig
gasvormig	beton/gegeleerd/halfvast/vast/hard/gecoaguleerd/gestold/droog
genereus	gemeen/chinchy/miserly/tight/grudging/chintzy/kaasmakerij/niggardly/egoïstisch/goedkoop/penny-knijpen/mingy/gemotiveerd/mager/dichtbij/parsimonious/liefdadig/penurious/ongenereus/gierig/bedelaar/scrimy
georganiseerd	ongestructureerd/ongecoördineerd/ongeorganiseerd/ongevormd
gevaarlijk	ongevaarlijk/onkwetsbaar/onschadelijk/risicovrij/faalveilig/ongedeerd/risicoloos/veilig
gewillig	afkerig/afkeer/niet-vrijwillig/onvrijwillig/onbehulpzaam/aarzelend/terughoudend/ongesteld/achteruit/onwillig/onbezonnen
gezond	gek/krankzinnig
goedkoop	waardevol/prijzig/duur
groot	kleinschalig/ondermaats/dwergachtig/micro/kriel/olijfgroot/miniatuur/petite/lilliputter/flyspeck/nietig/slank/kleiner/klein/atomair/subatomair/verkleinwoord/minuut/garnalen/elflike/dwerg/runty/minuscuul/mindere/zakformaat/elfin/microscopisch/gnomish
hard	padded/cushiony/woolly/squashy/mellow/wooly/flossy/brushed/papperig/wollig/squishy/fluffy/donzig/zacht/flocculent/overvol/flaccid/sponsachtig/fluweel/samendrukbaar/cheeselike/verzachtend/fleecy/downlike/fluweelachtig/demulcent/napped/halfzacht
helder	etiolaat/gewassen/gewit/somber/bleek/uitgewassen/saai/geëtst/neutraal/kleurloos/wit/luguber/gebleekt/afgestompt/dof/vervaagd/was/wasachtig/vergrijsd
interessant	saai/verdovend/slaapverwekkend/beschamend/zwaar/verzachtend/oninteressant/vervelend/vermoeiend/prosy/irritant/aardgebonden/ho-hum/prozaïsch/jejune/langzaam/smakeloos
introvert	sociaal/extravert/aankomend/uitgaand
