aanwerven	ontslaan/beëindigen/verplaatsen
achteruit	vooruit/forrad
afdalen	stijgen/omhoog/klimmen/opklimmen
anterieure	posterieure
begin	finale/terminal/einde/conclusie/finish/laatste
bergop	val/bergaf/afname/aflopend
bezet	vrij
binnen	buiten/buitenkant
bovenkant	onderkant
buiten	binnen/in
dood	levend
doorgaan	terugtrekken/terugkeren
duik	ontstaan
dynamisch	stil/onveranderlijk/statisch/onbeweeglijk
eerste	finale/terminal/einde/conclusie/finish/laatste
hieronder	hoger/boven/omhoog
in	buiten/buitenkant
inademen	uitademen
inkomend	uitgaand
interieur	buiten/buitenkant/exterieur
intern	buiten/buitenkant/extern
invoer	uitvoer
klim	aflopend/neerwaarts/afstammeling/regenen/degressief/motregen/vallen/afdalend/bergafwaarts
leraar	student
man	vrouw
meisje	jongen
na	eerder/voor
omgekeerd	omdraaien/omkeren
omhoog	omlaag
omlaag	leidend/gekiemd/hemelwaarts/voorsprong/aweigh/opgestaan/omhooggebonden/omhoogveld/slaapzaal/vooruit/boven/omhoog/opwaarts
onder	boven/over
onderduiken	opduiken
ouder	kind
over	onder
richting	uit/vooruit/weg/opzij
sterfelijk	onsterfelijk
stijgen	zinken/vallen
uit	op
uitgang	ingang/entree
val	stijgen/klimmen
vergeet	onthouden/terugroepen/ophalen
verlagen	stapsgewijs
volwassene	kind
voor	daarna/na/vooruit/later
voorheen	daarna/na/later/daaropvolgend
voorkant	voorstuk/achterkant
vooruit	achteruit
waar	onjuist/onwaar/verkeerd
west	oost
zuid	noord
