丹麦	丹麦语/法罗语/格陵兰语/德语
以色列	希伯来语/阿拉伯语
伊拉克	阿拉伯语/库尔德语
伊朗	波斯语
伯利兹	英语
关岛	英语/查莫罗语
加拿大	英语/法语
危地马拉	西班牙语
厄瓜多尔	西班牙语/盖丘亚语
叙利亚	阿拉伯语
古巴	西班牙语
台湾	中文
哈萨克斯坦	哈萨克语/俄语
哥伦比亚	西班牙语
圭亚那	英语
埃及	阿拉伯语
埃塞俄比亚	阿姆哈拉语
塞浦路斯	希腊语/土耳其语
墨西哥	西班牙语/纳瓦特语
奥地利	德语
委内瑞拉	西班牙语
孟加拉国	孟加拉语
安道尔	加泰罗尼亚语
尼加拉瓜	西班牙语
巴勒斯坦	阿拉伯语
巴哈马	英语
巴巴多斯	英语
巴西	葡萄牙语
挪威	挪威语/博克莫尔语/博克马尔语/巴克摩挪威语
摩尔多瓦	摩尔多瓦语/罗马尼亚语
摩洛哥	柏柏尔语/阿拉伯语
斐济	英语
智利	西班牙语
柬埔寨	高棉语
海地	克里奥尔语/法语
澳大利亚	英语
爱尔兰	英语/爱尔兰语/盖尔语
牙买加	英语/克里奥尔语
玻利维亚	西班牙语
瑞士	德语/法语/意大利语
瓜德罗普岛	法语
科威特	阿拉伯语
科索沃	阿尔巴尼亚语/塞尔维亚语
秘鲁	西班牙语
约旦	阿拉伯语
美国	英语
荷兰	荷兰语/弗里斯兰语
莫桑比克	葡萄牙语
菲律宾	他加禄语/菲律宾语
阿根廷	西班牙语
